,City,DOM,Year_Built,Beds,Sold_Price,Cost_per_sqft,Above_Grade_Finished_sqft,Lat,Lon,year,month,half_bath,full_bath
104,Alexandria,3,1961,4,550000,496.84,1107,38.8907693,-77.3482828,2019,6,0,2
106,Alexandria,1,1961,4,650000,587.17,1107,38.8907693,-77.3482828,2023,3,0,2
108,Fairfax,12,1967,3,470000,391.67,1200,38.8115265,-77.27794742,2019,6,1,2
110,Fairfax,85,1967,4,630000,525,1200,38.8115265,-77.27794742,2020,3,0,3
112,Centreville,0,1988,4,725000,251.04,2888,38.841813,-77.476539,2019,6,1,3
113,Chantilly,0,1979,3,610000,529.51,1152,38.869219,-77.389213,2019,5,0,3
114,Vienna,8,1984,4,830000,368.4,2253,38.910536,-77.23875571,2019,6,1,3
115,Fairfax,1,1968,4,560000,301.89,1855,38.875375,-77.39067956,2019,6,0,2
116,Centreville,0,1985,4,505000,438.37,1152,38.722791,-77.477571,2019,6,0,3
117,Annandale,6,1962,3,469900,435.09,1080,38.8907693,-77.3482828,2019,6,0,2
118,Herndon,1,1953,4,835000,224.95,3712,38.8907693,-77.3482828,2019,6,1,3
119,Mclean,2,1971,5,875000,493.79,1772,38.926331,-77.192167,2019,6,0,3
120,Mclean,4,1972,4,1100000,369.75,2975,38.8907693,-77.3482828,2019,6,1,2
121,Mclean,1,1959,4,830000,517.78,1603,38.8907693,-77.3482828,2019,5,0,3
123,Mclean,175,2020,5,2412500,565.39,4267,38.8907693,-77.3482828,2020,8,1,5
125,Fairfax,0,1969,4,555000,284.62,1950,38.867207,-77.39168444,2019,5,0,2
126,Reston,5,1972,4,580000,329.55,1760,38.944404,-77.37639043,2019,6,1,2
127,Fairfax,5,1977,5,730479,384.67,1899,38.818586,-77.339173,2019,6,0,3
128,Alexandria,5,1961,4,900000,501.11,1796,38.8907693,-77.3482828,2019,6,0,3
129,Fairfax,3,2000,4,770000,244.06,3155,38.8831755,-77.3945875,2019,6,1,3
130,Vienna,0,1965,4,760000,516.3,1472,38.917192,-77.255212,2019,5,0,3
131,Fairfax Station,4,1970,6,777000,209.77,3704,38.8907693,-77.3482828,2019,6,2,3
132,Annandale,6,1966,4,735000,328.71,2236,38.862148,-77.389845,2019,6,2,2
133,Alexandria,6,1960,3,524500,420.61,1247,38.8907693,-77.3482828,2019,6,0,2
134,Centreville,3,1986,4,500000,375.38,1332,38.8907693,-77.3482828,2019,6,0,3
135,Alexandria,2,1951,3,375000,411.18,912,38.866494,-77.347154,2019,6,0,1
136,Fairfax,1,1971,5,549000,366,1500,38.8907693,-77.3482828,2019,5,0,2
137,Mclean,4,1956,4,830000,666.13,1246,38.8907693,-77.3482828,2019,6,0,4
139,Mclean,49,2021,6,2350000,460.24,5106,38.8907693,-77.3482828,2021,7,1,5
141,Centreville,19,2004,4,816000,210.85,3870,38.8907693,-77.3482828,2019,6,1,3
142,Centreville,3,1989,3,490000,276.84,1770,32.7440238,-90.0331404,2019,6,1,2
143,Springfield,1,1977,4,675000,345.62,1953,38.8907693,-77.3482828,2019,5,1,2
144,Herndon,3,1988,4,560000,258.54,2166,38.999344,-77.380847,2019,6,1,3
145,Lorton,6,1989,5,801000,230.3,3478,38.8907693,-77.3482828,2019,6,1,4
146,Chantilly,7,1986,4,475000,219.5,2164,38.8907693,-77.3482828,2019,6,1,3
147,Mclean,1,2019,6,1799000,456.02,3945,38.8907693,-77.3482828,2019,6,1,6
148,Great Falls,1,1978,4,705000,528.88,1333,38.8907693,-77.3482828,2019,5,0,3
149,Alexandria,5,1955,3,467000,472.67,988,38.8907693,-77.3482828,2019,6,0,2
150,Fairfax Station,0,1986,4,950000,293.21,3240,38.749912,-77.28115,2019,5,1,3
151,Alexandria,1,1969,5,480000,424.03,1132,38.7785185,-77.11947099,2019,5,0,3
152,Herndon,7,1978,5,500000,233.1,2145,43.375023,-73.628537,2019,6,0,3
153,Herndon,3,1986,3,569500,221.34,2573,38.992606,-77.373495,2019,6,1,2
154,Great Falls,1,2004,6,1790000,332.28,5387,38.8706078,-77.3430171,2019,5,3,6
155,Chantilly,6,1986,3,492500,235.65,2090,38.8920065,-77.47424343,2019,6,1,2
156,Herndon,6,1986,4,640000,280.7,2280,38.9115975,-77.38717108,2019,6,1,3
157,Fairfax,6,1978,4,666050,479.17,1390,38.8907693,-77.3482828,2019,6,1,3
158,Burke,7,1977,4,600000,351.29,1708,38.8907693,-77.3482828,2019,6,1,2
159,Burke,7,1983,4,700000,266.67,2625,38.765964,-77.282535,2019,6,1,2
160,Alexandria,3,1950,4,560000,275.18,2035,39.6689941,-76.3794052,2019,6,0,3
161,Vienna,14,1969,5,806600,322.64,2500,38.9084785,-77.29338493,2019,6,1,2
163,Vienna,5,1969,5,830000,332,2500,38.9084785,-77.29338493,2019,3,1,2
165,Clifton,2,1987,4,725000,224.6,3228,38.8907693,-77.3482828,2019,6,1,3
166,Reston,0,1986,2,395000,361.72,1092,32.7440238,-90.0331404,2019,5,1,2
167,Alexandria,5,1960,3,607500,504.15,1205,38.843278,-77.123189,2019,6,0,3
168,Alexandria,1,1953,3,475000,513.51,925,38.7818305,-77.09592945,2019,6,0,2
169,Falls Church,8,1960,3,628000,451.8,1390,38.8907693,-77.3482828,2019,6,1,2
170,Alexandria,12,1966,4,530000,501.89,1056,38.937899,-77.340333,2019,6,0,2
171,Fairfax,6,1971,3,580000,432.84,1340,38.865755,-77.290911,2019,6,0,2
172,Mclean,4,2016,6,1800000,422.93,4256,38.94302,-77.173748,2019,6,1,5
173,Alexandria,4,1974,4,514000,356.94,1440,38.8907693,-77.3482828,2019,6,0,3
174,Springfield,3,1985,4,671000,285.65,2349,38.749612,-77.249826,2019,6,1,2
175,Herndon,7,1986,3,480000,285.37,1682,38.983213,-77.382434,2019,6,1,2
176,Alexandria,10,1965,4,629900,382.69,1646,38.8907693,-77.3482828,2019,6,1,2
178,Alexandria,18,1965,4,710000,431.35,1646,38.8907693,-77.3482828,2021,7,1,2
180,Burke,2,1984,5,710000,301.61,2354,38.8907693,-77.3482828,2019,6,1,3
181,Alexandria,6,1947,3,587500,336.48,1746,38.8907693,-77.3482828,2019,6,0,2
182,Fairfax,8,1962,4,475000,374.61,1268,38.8429055,-77.3317895,2019,6,0,3
183,Alexandria,6,1955,3,639399,376.34,1699,38.8907693,-77.3482828,2019,6,0,3
185,Alexandria,25,1955,3,775000,456.15,1699,38.8907693,-77.3482828,2021,9,0,3
187,Mclean,1,1993,4,1300000,310.19,4191,38.8907693,-77.3482828,2019,5,1,3
188,Centreville,4,1985,4,525000,250.72,2094,38.870041,-77.371065,2019,6,1,3
189,Falls Church,6,1950,5,705000,293.75,2400,38.8907693,-77.3482828,2019,6,0,3
190,Burke,0,1979,5,675000,421.61,1601,38.8907693,-77.3482828,2019,5,1,2
192,Burke,12,1979,5,830000,518.43,1601,38.8907693,-77.3482828,2022,8,1,2
194,Alexandria,7,1963,5,750000,319.56,2347,38.89848,-77.296512,2019,6,0,3
195,Fairfax Station,6,1994,5,787507,308.83,2550,38.730228,-77.270326,2019,6,1,3
196,Oakton,1,1925,3,580000,506.99,1144,38.87771535,-77.29722944,2019,6,0,2
197,Centreville,1,2005,5,839000,229.99,3648,38.8907693,-77.3482828,2019,6,1,4
198,Reston,7,1980,3,789900,301.49,2620,38.942179,-77.338138,2019,6,0,3
199,Fairfax,3,1965,5,600000,441.18,1360,38.865545,-77.39269,2019,6,1,2
201,Fairfax,2,1965,5,745000,547.79,1360,38.865545,-77.39269,2021,3,1,2
203,Burke,7,1973,3,491000,279.61,1756,38.842658,-77.288492,2019,6,1,2
204,Burke,5,1986,5,690000,241.85,2853,38.8907693,-77.3482828,2019,6,1,3
205,Springfield,3,1967,4,726000,260.78,2784,38.8907693,-77.3482828,2019,6,1,4
206,Falls Church,4,1965,3,685000,526.11,1302,38.887497,-77.204544,2019,6,0,3
208,Falls Church,6,1965,4,769000,590.63,1302,38.887497,-77.204544,2020,9,0,3
210,Springfield,5,1957,4,532000,441.86,1204,38.8907693,-77.3482828,2019,6,0,3
211,Falls Church,5,1962,3,720000,364.93,1973,38.8907693,-77.3482828,2019,6,0,4
212,Falls Church,2,2019,5,1270000,369.08,3441,38.8907693,-77.3482828,2019,6,1,4
213,Alexandria,4,1950,4,496000,211.15,2349,38.8907693,-77.3482828,2019,6,1,2
214,Falls Church,6,1957,4,826000,408.51,2022,38.924417,-77.320877,2019,6,0,3
216,Falls Church,13,1957,4,950000,469.83,2022,38.924417,-77.320877,2021,8,0,3
218,Herndon,7,1977,3,490000,447.08,1096,38.98926925,-77.38463703,2019,6,1,2
219,Alexandria,1,1952,3,575000,409.54,1404,38.8907693,-77.3482828,2019,5,0,2
220,Fairfax,7,1989,4,780000,256.92,3036,38.854337,-77.307052,2019,6,1,2
221,Fairfax,5,1980,4,510000,548.39,930,38.8907693,-77.3482828,2019,6,0,2
222,Annandale,5,1956,5,617000,256.23,2408,38.8907693,-77.3482828,2019,6,0,3
223,Vienna,0,1955,4,739000,592.15,1248,36.5615409,-76.2010467,2019,4,0,3
224,Burke,9,2000,3,775000,311.5,2488,38.8907693,-77.3482828,2019,6,1,3
225,Springfield,6,1954,4,449000,260.44,1724,38.7905285,-77.19577519,2019,6,0,2
226,Alexandria,0,1959,4,682000,508.58,1341,38.854067,-77.369148,2019,5,0,3
227,Herndon,1,1991,4,780000,275.62,2830,38.920363,-77.411158,2019,6,1,3
228,Centreville,5,1996,3,599888,282.97,2120,38.8907693,-77.3482828,2019,6,1,3
229,Centreville,5,2001,4,655000,204.18,3208,38.950417,-77.407426,2019,6,1,3
230,Alexandria,0,1964,4,485000,372.5,1302,38.790808,-77.104119,2019,4,0,3
231,Burke,5,1978,5,747500,276.44,2704,38.8907693,-77.3482828,2019,6,1,3
232,Vienna,5,1983,4,765000,467.6,1636,38.8907693,-77.3482828,2019,6,1,3
233,Alexandria,8,1957,4,507600,565.89,897,38.852838,-77.344979,2019,6,0,2
234,Vienna,1,1977,5,1045000,264.96,3944,38.8909166,-77.29800432,2019,6,1,4
236,Vienna,181,1977,5,1045000,163.28,6400,38.8909166,-77.29800432,2019,4,1,4
238,Clifton,5,1986,4,684625,271.25,2524,38.8907693,-77.3482828,2019,6,1,3
239,Springfield,0,1973,3,525000,382.65,1372,38.8907693,-77.3482828,2019,5,0,5
240,Oakton,6,1994,4,1010000,256.28,3941,38.90201625,-77.34391685,2019,6,1,4
241,Fairfax,3,1985,3,549990,377.22,1458,38.834733,-77.39361962,2019,6,1,2
242,Alexandria,8,1990,5,725000,344.58,2104,38.8907693,-77.3482828,2019,6,1,3
243,Alexandria,11,1954,4,541000,340.89,1587,38.7708385,-77.0952785,2019,6,0,2
244,Springfield,1,1957,4,433000,411.6,1052,38.8907693,-77.3482828,2019,6,1,1
245,Springfield,4,1961,3,441000,369.66,1193,38.8907693,-77.3482828,2019,6,0,2
246,Centreville,1,2000,5,822000,205.4,4002,38.8907693,-77.3482828,2019,5,1,5
247,Fairfax Station,0,1986,4,867000,279.5,3102,38.8907693,-77.3482828,2019,4,1,3
248,Alexandria,10,1955,5,720000,320,2250,38.8907693,-77.3482828,2019,6,0,3
250,Alexandria,3,1955,5,880000,505.17,1742,38.8907693,-77.3482828,2022,8,0,3
252,Herndon,3,1979,4,540000,252.69,2137,38.8907693,-77.3482828,2019,6,0,3
253,Alexandria,1,1989,3,622500,368.78,1688,38.741484,-77.175163,2019,5,1,3
254,Herndon,3,1977,4,445000,343.89,1294,38.8907693,-77.3482828,2019,6,0,2
255,Chantilly,2,1999,4,717500,257.82,2783,38.8907693,-77.3482828,2019,6,1,3
256,Springfield,1,1965,5,725000,273.38,2652,38.7725255,-77.228126,2019,5,1,4
257,Herndon,5,1986,4,765000,276.57,2766,38.8907693,-77.3482828,2019,6,1,3
258,Annandale,3,1952,3,525000,511.7,1026,38.8907693,-77.3482828,2019,6,0,2
259,Springfield,7,1961,2,475000,291.05,1632,38.8907693,-77.3482828,2019,6,0,1
260,Falls Church,6,1950,3,560000,341.67,1639,38.8907693,-77.3482828,2019,6,0,2
261,Chantilly,4,1991,4,517250,250.61,2064,38.894068,-77.4753615,2019,6,1,2
262,Clifton,1,1987,5,689000,249.64,2760,38.8907693,-77.3482828,2019,5,1,3
263,Centreville,7,1985,4,680000,267.82,2539,38.849498,-77.428605,2019,6,1,3
264,Herndon,0,1986,4,590500,244.01,2420,38.8907693,-77.3482828,2019,5,1,2
265,Fairfax,5,1980,5,673000,351.62,1914,38.8907693,-77.3482828,2019,6,1,3
266,Fairfax,1,1972,5,906000,369.8,2450,38.8907693,-77.3482828,2019,5,1,2
267,Mclean,10,1966,4,945000,586.23,1612,38.8907693,-77.3482828,2019,6,0,3
268,Fairfax,6,1989,5,837000,217.91,3841,38.8332345,-77.38326939,2019,6,1,4
269,Mclean,1,1982,4,2360000,443.61,5320,38.8907693,-77.3482828,2019,5,1,3
270,Reston,4,1977,4,566000,262.28,2158,38.9301243,-77.37434941,2019,6,1,3
271,Vienna,1,1997,4,1050000,246.83,4254,38.9444395,-77.29715255,2019,6,1,3
272,Vienna,4,1977,4,867000,339.73,2552,38.8907693,-77.3482828,2019,6,0,3
273,Lorton,3,2004,4,810000,241.72,3351,38.8907693,-77.3482828,2019,6,1,3
274,Chantilly,4,1983,5,498000,291.57,1708,38.8907693,-77.3482828,2019,6,1,2
276,Chantilly,34,1983,5,600000,351.29,1708,38.8907693,-77.3482828,2021,9,1,2
278,Fairfax,15,1970,3,465000,277.61,1675,38.862459,-77.40209505,2019,6,0,2
279,Annandale,4,1965,4,712742,431.18,1653,38.8907693,-77.3482828,2019,6,1,2
280,Springfield,5,1958,3,441000,275.11,1603,38.8907693,-77.3482828,2019,6,1,1
281,Burke,4,1972,4,630000,257.14,2450,38.808962,-77.272443,2019,6,1,2
282,Lorton,7,1996,4,735000,328.71,2236,38.918452,-77.391501,2019,6,1,3
283,Annandale,10,1975,4,700000,315.32,2220,38.8907693,-77.3482828,2019,6,1,2
284,Mclean,0,1959,2,775000,601.71,1288,38.8907693,-77.3482828,2019,4,0,2
286,Mclean,1,2020,6,1825000,433.9,4206,38.8907693,-77.3482828,2020,10,1,5
288,Fairfax,5,2001,5,810000,254,3189,38.88333,-77.391482,2019,6,1,4
289,Fairfax,16,1969,4,570000,358.49,1590,38.8907693,-77.3482828,2019,6,1,2
290,Alexandria,5,1949,4,540000,257.14,2100,38.883734,-77.35732,2019,6,0,2
291,Herndon,4,1973,5,575000,237.6,2420,38.9215695,-77.3841645,2019,6,1,2
292,Falls Church,6,1954,4,529000,535.43,988,38.858716,-77.209875,2019,6,0,2
293,Annandale,2,1971,5,720000,478.72,1504,38.8907693,-77.3482828,2019,6,0,3
294,Annandale,5,1955,3,543000,407.66,1332,37.434317,-79.172581,2019,6,0,2
297,Annandale,89,2020,6,1410000,328.98,4286,37.434317,-79.172581,2020,7,1,6
300,Annandale,23,2020,6,1750000,408.31,4286,37.434317,-79.172581,2023,4,1,6
303,Springfield,4,1986,4,625000,336.75,1856,38.744592,-77.242033,2019,6,2,2
304,Alexandria,0,1952,3,630000,299.29,2105,38.837548,-77.12640622,2019,5,0,3
305,Annandale,11,1964,3,650000,457.1,1422,38.8907693,-77.3482828,2019,6,0,3
306,Fairfax Station,1,1980,5,670000,258.49,2592,38.8907693,-77.3482828,2019,5,1,2
307,Alexandria,20,1956,3,405000,317.9,1274,38.758235,-77.086391,2019,6,1,1
308,Falls Church,2,1948,4,620000,420.05,1476,38.873716,-77.1851625,2019,6,0,2
309,Alexandria,18,1951,2,459000,503.29,912,38.7382898,-77.06164999,2019,6,0,1
311,Alexandria,2,1951,2,526000,576.75,912,38.7382898,-77.06164999,2020,12,0,1
313,Springfield,5,1962,4,555000,440.48,1260,38.8907693,-77.3482828,2019,6,0,3
314,Springfield,21,1975,4,520000,215.95,2408,38.763612,-77.262849,2019,6,1,2
315,Burke,6,1978,4,580000,416.37,1393,38.8907693,-77.3482828,2019,6,1,2
316,Oakton,2,2003,4,1600000,276.82,5780,38.882093,-77.309196,2019,6,1,4
317,Alexandria,13,1987,3,575000,343.49,1674,38.8907693,-77.3482828,2019,6,1,3
318,Burke,4,1972,5,702254,320.66,2190,38.8907693,-77.3482828,2019,6,1,2
319,Falls Church,16,2015,4,1349900,478.69,2820,38.8907693,-77.3482828,2019,6,1,4
320,Falls Church,5,1956,3,630000,496.06,1270,38.8907693,-77.3482828,2019,6,1,2
321,Alexandria,6,1967,4,499000,436.19,1144,38.746651,-77.131834,2019,6,0,2
322,Burke,2,2000,5,900000,252.24,3568,38.8907693,-77.3482828,2019,6,1,5
323,Springfield,7,1966,5,758000,257.12,2948,38.784169,-77.235158,2019,6,1,3
324,Falls Church,20,1954,3,679900,410.57,1656,38.882657,-77.312657,2019,6,0,2
326,Falls Church,5,1954,3,775000,500,1550,38.882657,-77.312657,2021,7,0,2
328,Falls Church,4,1944,3,610000,533.22,1144,38.8907693,-77.3482828,2019,6,0,2
329,Herndon,4,1982,5,525000,280.45,1872,38.8907693,-77.3482828,2019,6,1,3
334,Mclean,7,1969,4,1000000,427.35,2340,38.8907693,-77.3482828,2019,6,0,3
335,Fairfax,5,1968,4,875000,307.13,2849,38.844706,-77.262791,2019,6,2,2
336,Herndon,6,1974,3,487500,274.65,1775,38.885093,-77.361604,2019,6,0,2
337,Alexandria,7,1966,5,505000,242.79,2080,38.8907693,-77.3482828,2019,6,0,3
338,Springfield,7,1956,3,550000,426.03,1291,38.8907693,-77.3482828,2019,6,1,2
339,Mclean,1,1957,3,750000,428.08,1752,38.8907693,-77.3482828,2019,5,1,2
341,Mclean,212,2020,6,1885000,445,4236,38.8907693,-77.3482828,2020,5,1,5
343,Chantilly,8,2006,6,1217500,237.33,5130,38.873493,-77.420519,2019,6,1,4
344,Fairfax,4,1970,4,553500,420.59,1316,38.87597135,-77.39791588,2019,6,0,3
345,Fairfax,14,1961,5,793000,413.24,1919,38.858013,-77.260028,2019,6,0,3
346,Alexandria,6,1963,5,659000,406.79,1620,38.710043,-77.10143,2019,6,0,3
347,Lorton,5,1961,4,490000,372.34,1316,38.8907693,-77.3482828,2019,6,0,2
348,Vienna,1,1961,4,660000,582.01,1134,38.8907693,-77.3482828,2019,5,0,3
349,Herndon,4,1985,4,702500,308.11,2280,38.933079,-77.406665,2019,6,1,2
350,Alexandria,8,1960,4,563200,438.63,1284,38.8907693,-77.3482828,2019,6,0,3
351,Alexandria,14,1942,5,520000,338.54,1536,36.211973,-80.259702,2019,6,0,2
353,Alexandria,1,1942,4,275750,179.52,1536,36.211973,-80.259702,2019,2,0,2
355,Reston,9,1987,3,620000,482.87,1284,32.7440238,-90.0331404,2019,6,0,3
356,Chantilly,4,1999,5,806000,252.43,3193,38.874445,-77.431755,2019,6,1,3
357,Herndon,5,1985,4,410000,381.75,1074,38.8907693,-77.3482828,2019,6,0,2
358,Fairfax,5,1966,4,685000,509.67,1344,38.8907693,-77.3482828,2019,6,0,3
359,Fairfax,6,1979,5,780000,238.61,3269,38.8907693,-77.3482828,2019,6,1,4
360,Fairfax,19,1968,3,468750,305.37,1535,38.8723735,-77.40095023,2019,6,0,2
361,Herndon,2,1993,5,989000,250.38,3950,32.7440238,-90.0331404,2019,6,1,4
362,Springfield,3,1958,3,555000,474.36,1170,38.8907693,-77.3482828,2019,6,0,3
364,Springfield,2,1958,3,560000,478.63,1170,38.8907693,-77.3482828,2020,6,0,3
366,Burke,8,1972,5,560000,280,2000,38.8907693,-77.3482828,2019,6,1,2
367,Vienna,6,1965,4,766100,599.45,1278,38.8907693,-77.3482828,2019,6,1,2
368,Alexandria,5,1950,5,704900,193.34,3646,38.71956775,-77.1028382,2019,6,0,3
370,Alexandria,19,1950,5,829000,259.39,3196,38.71956775,-77.1028382,2022,8,0,3
372,Alexandria,14,1941,3,490000,358.19,1368,38.8907693,-77.3482828,2019,6,1,2
374,Alexandria,5,1941,3,610000,430.18,1418,38.8907693,-77.3482828,2023,1,1,2
376,Falls Church,6,1951,2,755250,536.02,1409,38.8907693,-77.3482828,2019,6,0,1
377,Springfield,5,1961,5,575500,450.67,1277,38.784799,-77.221722,2019,6,1,2
378,Herndon,9,1975,4,540000,370.37,1458,38.8907693,-77.3482828,2019,6,1,2
379,Annandale,6,1963,3,625000,484.5,1290,38.8907693,-77.3482828,2019,6,1,2
380,Alexandria,2,1963,3,435000,433.27,1004,38.8907693,-77.3482828,2019,6,0,2
381,Fairfax,5,1981,4,559000,240.95,2320,38.8882162,-77.40439828,2019,6,1,2
382,Annandale,6,1959,4,585000,475.61,1230,38.885997,-77.386513,2019,6,1,2
384,Annandale,2,1959,4,735000,597.56,1230,38.885997,-77.386513,2023,3,1,2
386,Mclean,3,1965,5,995000,355.61,2798,38.8907693,-77.3482828,2019,6,1,2
387,Vienna,1,1961,4,700000,336.54,2080,38.8907693,-77.3482828,2019,6,1,3
388,Alexandria,11,1976,4,630000,450,1400,38.8907693,-77.3482828,2019,6,0,3
389,Centreville,3,2003,5,756000,227.23,3327,38.844259,-77.407655,2019,6,1,3
390,Annandale,2,1965,5,590000,478.9,1232,38.81856,-77.251525,2019,6,0,3
391,Fairfax Station,5,1988,4,999000,262.62,3804,38.8907693,-77.3482828,2019,6,1,3
392,Fairfax,8,1969,4,575000,257.73,2231,38.867507,-77.39260885,2019,6,1,2
394,Fairfax,2,1969,4,605900,271.58,2231,38.867507,-77.39260885,2020,7,1,2
396,Herndon,5,1985,3,641500,388.79,1650,38.9117915,-77.405918,2019,6,1,3
397,Herndon,9,1997,4,809000,280.9,2880,38.9185676,-77.384343,2019,6,1,3
398,Clifton,1,1948,4,850000,441.56,1925,38.9310302,-77.31881497,2019,5,1,3
399,Fairfax,1,1983,4,650000,386.22,1683,38.878345,-77.37015723,2019,6,0,3
400,Alexandria,7,1962,4,478000,427.55,1118,38.7855585,-77.111457,2019,6,0,2
402,Alexandria,3,1962,4,653000,294.14,2220,38.7855585,-77.111457,2023,3,0,2
404,Herndon,12,1988,5,580000,292.93,1980,38.8907693,-77.3482828,2019,6,1,3
406,Herndon,3,1988,4,686000,346.46,1980,38.8907693,-77.3482828,2021,8,1,3
408,Burke,8,1971,3,515000,282.35,1824,38.8907693,-77.3482828,2019,6,0,2
